Module Name,Phisycal Name,Bench Name,Unit Name,Data Type,Unit Type,Unit Measure,Decimals,LinkChannel,ModuleID,ChannelID,Description
DSG_CanCcp,B_ldr_CCP2_AE31a,,B_ldr_CCP2_AE31a,SINGLE,GENERIC,,2,,3005,181,
DSG_CanCcp,B_lduv_CCP2_AE31a,,,SINGLE,GENERIC,,2,,3005,182,
DSG_CanCcp,B_lr_CCP2_AE31a,,B_lr_CCP2_AE31a,SINGLE,GENERIC,,2,,3005,183,
DSG_CanCcp,B_master_CCP2_AE31a,,,SINGLE,GENERIC,,2,,3005,184,
DSG_CanCcp,B_phada_CCP2_AE31a,,B_phada_CCP2_AE31a,SINGLE,GENERIC,,2,,3005,185,
DSG_CanCcp,B_phade_CCP2_AE31a,,B_phade_CCP2_AE31a,SINGLE,GENERIC,,2,,3005,186,
DSG_CanCcp,Epm_stSync_CCP2_AE31a,,Epm_stSync_CCP2_AE31a,SINGLE,GENERIC,,2,,3005,187,
DSG_CanCcp,EpmCaS_phiCaSOfsAvg_0_CCP2_AE31a,,EpmCaS_phiCaSOfsAvg_0_CCP2_AE31a,SINGLE,GENERIC,deg CrS,2,,3005,188,
DSG_CanCcp,EpmCaS_phiCaSOfsAvg_1_CCP2_AE31a,,EpmCaS_phiCaSOfsAvg_1_CCP2_AE31a,SINGLE,GENERIC,deg CrS,2,,3005,189,
DSG_CanCcp,fkmsdk_w_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,190,
DSG_CanCcp,fpuk_w_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,191,
DSG_CanCcp,fra_w_CCP2_AE31a,,fra_w_CCP2_AE31a,SINGLE,GENERIC,-,2,,3005,192,
DSG_CanCcp,miopt_w_CCP2_AE31a,,,SINGLE,GENERIC,%,2,,3005,193,
DSG_CanCcp,msabnav_w_CCP2_AE31a,,,SINGLE,GENERIC,kg/h,2,,3005,194,
DSG_CanCcp,msdk_w_CCP2_AE31a,,,SINGLE,GENERIC,kg/h,2,,3005,195,
DSG_CanCcp,msdks_w_CCP2_AE31a,,,SINGLE,GENERIC,kg/h,2,,3005,196,
DSG_CanCcp,ora_w_CCP2_AE31a,,,SINGLE,GENERIC,%,2,,3005,197,
DSG_CanCcp,pabnav_w_CCP2_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,198,
DSG_CanCcp,pbrint_w_CCP2_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,199,
DSG_CanCcp,PthLead_trqInrLead_CCP2_AE31a,,,SINGLE,GENERIC,Nm,2,,3005,200,
DSG_CanCcp,pu_w_CCP2_AE31a,,,SINGLE,GENERIC,hPa,2,,3005,201,
DSG_CanCcp,RngMod_trqLos_CCP2_AE31a,,,SINGLE,GENERIC,Nm,2,,3005,202,
DSG_CanCcp,taev_w_CCP2_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,203,
DSG_CanCcp,taikr_w_CCP2_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,204,
DSG_CanCcp,tasr_w_CCP2_AE31a,,tasr_w_CCP2_AE31a,SINGLE,GENERIC,Grad C,2,,3005,205,
DSG_CanCcp,tavdk_w_CCP2_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,206,
DSG_CanCcp,tavv_w_CCP2_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,207,
DSG_CanCcp,tfuelr_CCP2_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,208,
DSG_CanCcp,toch_CCP2_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,209,
DSG_CanCcp,TrbCh_OffsLrn_I.nrOffsLrnStep_CCP2_AE31a,,,SINGLE,GENERIC,-,2,,3005,210,
DSG_CanCcp,TrbCh_uElStopClsdSens1B1_CCP2_AE31a,,,SINGLE,GENERIC,V,2,,3005,211,
DSG_CanCcp,tumg_CCP2_AE31a,,,SINGLE,GENERIC,Grad C,2,,3005,212,
DSG_CanCcp,dwkrz_0_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,214,
DSG_CanCcp,dwkrz_1_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,215,
DSG_CanCcp,dwkrz_2_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,216,
DSG_CanCcp,dwkrz_3_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,217,
DSG_CanCcp,dwkrz_4_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,218,
DSG_CanCcp,dwkrz_5_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,219,
DSG_CanCcp,nmot_w_CCP1_AE34,,,SINGLE,GENERIC,1/min,2,,3005,220,
DSG_CanCcp,te_l_CCP1_AE34,,,SINGLE,GENERIC,ms,2,,3005,221,
DSG_CanCcp,tez_l_0_CCP1_AE34,,,SINGLE,GENERIC,ms,2,,3005,222,
DSG_CanCcp,tez_l_1_CCP1_AE34,,,SINGLE,GENERIC,ms,2,,3005,223,
DSG_CanCcp,tez_l_2_CCP1_AE34,,,SINGLE,GENERIC,ms,2,,3005,224,
DSG_CanCcp,tez_l_3_CCP1_AE34,,,SINGLE,GENERIC,ms,2,,3005,225,
DSG_CanCcp,tez_l_4_CCP1_AE34,,,SINGLE,GENERIC,ms,2,,3005,226,
DSG_CanCcp,tez_l_5_CCP1_AE34,,,SINGLE,GENERIC,ms,2,,3005,227,
DSG_CanCcp,wee_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,228,
DSG_CanCcp,wnwa_w_CCP1_AE34,,wnwa_w_CCP1_AE34,SINGLE,GENERIC,Grad KW,2,,3005,229,
DSG_CanCcp,wnwe_w_CCP1_AE34,,wnwe_w_CCP1_AE34,SINGLE,GENERIC,Grad KW,2,,3005,230,
DSG_CanCcp,wnwsa_w_CCP1_AE34,,wnwsa_w_CCP1_AE34,SINGLE,GENERIC,Grad KW,2,,3005,231,
DSG_CanCcp,wnwse_w_CCP1_AE34,,wnwse_w_CCP1_AE34,SINGLE,GENERIC,Grad KW,2,,3005,232,
DSG_CanCcp,zwbas_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,233,
DSG_CanCcp,zwgru_CCP1_AE34,,,SINGLE,GENERIC,Grad KW,2,,3005,234,
